,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,TimeStamp
144,Benin,2,+1,,,,2,,0.2,2020-03-18 19:03:20.276929
145,Greenland,2,+1,,,,2,,35.0,2020-03-18 19:03:20.276929
146,Liberia,2,,,,,2,,0.4,2020-03-18 19:03:20.276929
147,Mauritania,2,+1,,,,2,,0.4,2020-03-18 19:03:20.276929
148,Montenegro,2,,,,,2,,3.0,2020-03-18 19:03:20.276929
149,Namibia,2,,,,,2,,0.8,2020-03-18 19:03:20.276929
150,New Caledonia,2,+2,,,,2,,7.0,2020-03-18 19:03:20.276929
151,Saint Lucia,2,,,,,2,,11.0,2020-03-18 19:03:20.276929
152,U.S. Virgin Islands,2,,,,,2,,19.0,2020-03-18 19:03:20.276929
153,Zambia,2,+2,,,,2,,0.1,2020-03-18 19:03:20.276929
154,Cayman Islands,1,,1.0,,,0,,15.0,2020-03-18 19:03:20.276929
155,Nepal,1,,,,1.0,0,,0.03,2020-03-18 19:03:20.276929
156,Antigua and Barbuda,1,,,,,1,,10.0,2020-03-18 19:03:20.276929
157,Bahamas,1,,,,,1,,3.0,2020-03-18 19:03:20.276929
158,Bhutan,1,,,,,1,,1.0,2020-03-18 19:03:20.276929
159,CAR,1,,,,,1,,0.2,2020-03-18 19:03:20.276929
160,Congo,1,,,,,1,,0.2,2020-03-18 19:03:20.276929
161,Djibouti,1,+1,,,,1,,1.0,2020-03-18 19:03:20.276929
162,Gambia,1,,,,,1,,0.4,2020-03-18 19:03:20.276929
163,Guinea,1,,,,,1,,0.08,2020-03-18 19:03:20.276929
164,Vatican City,1,,,,,1,,1248.0,2020-03-18 19:03:20.276929
165,Montserrat,1,+1,,,,1,,200.0,2020-03-18 19:03:20.276929
166,St. Vincent Grenadines,1,,,,,1,,9.0,2020-03-18 19:03:20.276929
167,Somalia,1,,,,,1,,0.06,2020-03-18 19:03:20.276929
168,Suriname,1,,,,,1,,2.0,2020-03-18 19:03:20.276929
169,Eswatini,1,,,,,1,,0.9,2020-03-18 19:03:20.276929
170,Togo,1,,,,,1,,0.1,2020-03-18 19:03:20.276929
171,Total:,213617,15399,8791.0,824.0,84314.0,120512,6636.0,27.4,2020-03-18 19:03:20.276929
