,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,TimeStamp
26,Brazil,367,+21,1.0,,2.0,364,18.0,2.0,2020-03-18 17:37:27.045166
27,Finland,359,+37,,,10.0,349,2.0,65.0,2020-03-18 17:37:27.045166
28,Singapore,313,+47,,,114.0,199,14.0,54.0,2020-03-18 17:37:27.045166
29,Ireland,292,,2.0,,5.0,285,6.0,59.0,2020-03-18 17:37:27.045166
30,Slovenia,286,+11,1.0,,,285,4.0,138.0,2020-03-18 17:37:27.045166
31,Pakistan,272,+25,,,2.0,270,,1.0,2020-03-18 17:37:27.045166
32,Estonia,258,+33,,,1.0,257,1.0,194.0,2020-03-18 17:37:27.045166
33,Bahrain,255,+14,1.0,,95.0,159,3.0,150.0,2020-03-18 17:37:27.045166
34,Poland,251,+13,5.0,,1.0,245,3.0,7.0,2020-03-18 17:37:27.045166
35,Iceland,250,+3,,,5.0,245,1.0,733.0,2020-03-18 17:37:27.045166
36,Romania,246,+29,,,19.0,227,5.0,13.0,2020-03-18 17:37:27.045166
37,Chile,238,+37,,,,238,3.0,12.0,2020-03-18 17:37:27.045166
38,Indonesia,227,+55,19.0,12.0,11.0,197,,0.8,2020-03-18 17:37:27.045166
39,Thailand,212,+35,1.0,,41.0,170,1.0,3.0,2020-03-18 17:37:27.045166
40,Luxembourg,203,+63,2.0,1.0,,201,1.0,324.0,2020-03-18 17:37:27.045166
41,Philippines,202,+15,17.0,3.0,4.0,181,1.0,2.0,2020-03-18 17:37:27.045166
42,Egypt,196,,6.0,,26.0,164,,2.0,2020-03-18 17:37:27.045166
43,Hong Kong,181,+13,4.0,,92.0,85,4.0,24.0,2020-03-18 17:37:27.045166
44,Saudi Arabia,171,,,,6.0,165,,5.0,2020-03-18 17:37:27.045166
45,Iraq,164,+10,12.0,1.0,41.0,111,,4.0,2020-03-18 17:37:27.045166
46,India,155,+12,3.0,,14.0,138,,0.1,2020-03-18 17:37:27.045166
47,Ecuador,155,+44,2.0,,,153,2.0,9.0,2020-03-18 17:37:27.045166
48,Russia,147,+33,,,8.0,139,,1.0,2020-03-18 17:37:27.045166
49,Peru,145,+28,,,1.0,144,8.0,4.0,2020-03-18 17:37:27.045166
50,Kuwait,142,+12,,,15.0,127,4.0,33.0,2020-03-18 17:37:27.045166
51,Lebanon,133,+9,4.0,,4.0,125,3.0,19.0,2020-03-18 17:37:27.045166
52,San Marino,119,,11.0,,4.0,104,11.0,3507.0,2020-03-18 17:37:27.045166
53,South Africa,116,+31,,,,116,,2.0,2020-03-18 17:37:27.045166
54,UAE,113,,,,26.0,87,2.0,11.0,2020-03-18 17:37:27.045166
55,Slovakia,105,+8,,,,105,2.0,19.0,2020-03-18 17:37:27.045166
56,Armenia,102,+24,,,1.0,101,2.0,34.0,2020-03-18 17:37:27.045166
57,Taiwan,100,+23,1.0,,20.0,79,,4.0,2020-03-18 17:37:27.045166
58,Turkey,98,,1.0,,,97,,1.0,2020-03-18 17:37:27.045166
59,Mexico,93,+11,,,4.0,89,1.0,0.7,2020-03-18 17:37:27.045166
60,Colombia,93,+28,,,1.0,92,,2.0,2020-03-18 17:37:27.045166
61,Bulgaria,92,+11,2.0,,,90,,13.0,2020-03-18 17:37:27.045166
62,Panama,86,+17,1.0,,,85,7.0,20.0,2020-03-18 17:37:27.045166
63,Serbia,83,+11,,,1.0,82,4.0,9.0,2020-03-18 17:37:27.045166
64,Croatia,81,+12,,,5.0,76,,20.0,2020-03-18 17:37:27.045166
65,Argentina,79,,2.0,,3.0,74,1.0,2.0,2020-03-18 17:37:27.045166
66,Vietnam,75,+9,,,16.0,59,,0.8,2020-03-18 17:37:27.045166
67,Algeria,72,+11,6.0,1.0,10.0,56,,2.0,2020-03-18 17:37:27.045166
68,Latvia,71,+11,,,1.0,70,,38.0,2020-03-18 17:37:27.045166
69,Brunei,68,+12,,,,68,2.0,155.0,2020-03-18 17:37:27.045166
70,Albania,59,+4,2.0,1.0,,57,2.0,21.0,2020-03-18 17:37:27.045166
71,Hungary,58,+8,1.0,,2.0,55,4.0,6.0,2020-03-18 17:37:27.045166
72,Faeroe Islands,58,+11,,,1.0,57,,1187.0,2020-03-18 17:37:27.045166
73,Jordan,52,+4,,,1.0,51,,5.0,2020-03-18 17:37:27.045166
74,Belarus,51,+15,,,5.0,46,,5.0,2020-03-18 17:37:27.045166
75,Sri Lanka,51,+7,,,3.0,48,,2.0,2020-03-18 17:37:27.045166
76,Costa Rica,50,,,,,50,3.0,10.0,2020-03-18 17:37:27.045166
77,Uruguay,50,,,,,50,,14.0,2020-03-18 17:37:27.045166
78,Morocco,49,+5,2.0,,1.0,46,1.0,1.0,2020-03-18 17:37:27.045166
79,Cyprus,49,,,,,49,1.0,41.0,2020-03-18 17:37:27.045166
80,Malta,48,+10,,,2.0,46,,109.0,2020-03-18 17:37:27.045166
81,Palestine,44,,,,,44,,9.0,2020-03-18 17:37:27.045166
82,Andorra,39,,,,1.0,38,,505.0,2020-03-18 17:37:27.045166
83,Bosnia and Herzegovina,39,+5,,,2.0,37,,12.0,2020-03-18 17:37:27.045166
84,Georgia,38,+4,,,1.0,37,1.0,10.0,2020-03-18 17:37:27.045166
85,Kazakhstan,36,+3,,,,36,,2.0,2020-03-18 17:37:27.045166
86,Venezuela,36,+3,,,,36,,1.0,2020-03-18 17:37:27.045166
87,Cambodia,35,+2,,,1.0,34,,2.0,2020-03-18 17:37:27.045166
88,North Macedonia,35,+4,,,1.0,34,1.0,17.0,2020-03-18 17:37:27.045166
89,Azerbaijan,34,,1.0,,6.0,27,,3.0,2020-03-18 17:37:27.045166
90,Lithuania,33,+7,,,1.0,32,1.0,12.0,2020-03-18 17:37:27.045166
91,Oman,33,,,,12.0,21,,6.0,2020-03-18 17:37:27.045166
92,Senegal,31,+4,,,2.0,29,,2.0,2020-03-18 17:37:27.045166
93,Moldova,30,,1.0,1.0,1.0,28,2.0,7.0,2020-03-18 17:37:27.045166
94,Tunisia,29,+2,,,1.0,28,2.0,2.0,2020-03-18 17:37:27.045166
95,Guadeloupe,27,+9,,,,27,,67.0,2020-03-18 17:37:27.045166
96,Afghanistan,22,,,,1.0,21,,0.6,2020-03-18 17:37:27.045166
97,Dominican Republic,21,,1.0,,,20,,2.0,2020-03-18 17:37:27.045166
98,Burkina Faso,20,+5,1.0,1.0,,19,,1.0,2020-03-18 17:37:27.045166
99,New Zealand,20,,,,,20,,4.0,2020-03-18 17:37:27.045166
100,Martinique,19,+4,1.0,,,18,,51.0,2020-03-18 17:37:27.045166
101,Liechtenstein,19,,,,,19,,498.0,2020-03-18 17:37:27.045166
102,Macao,15,+2,,,10.0,5,,23.0,2020-03-18 17:37:27.045166
103,Uzbekistan,15,+4,,,,15,,0.4,2020-03-18 17:37:27.045166
104,Ukraine,14,,2.0,,,12,,0.3,2020-03-18 17:37:27.045166
105,Bangladesh,14,+4,1.0,1.0,3.0,10,,0.09,2020-03-18 17:37:27.045166
106,Jamaica,13,,,,2.0,11,,4.0,2020-03-18 17:37:27.045166
107,Maldives,13,,,,,13,,24.0,2020-03-18 17:37:27.045166
108,Bolivia,12,,,,,12,,1.0,2020-03-18 17:37:27.045166
109,Réunion,12,+3,,,,12,,13.0,2020-03-18 17:37:27.045166
110,French Guiana,11,,,,,11,,37.0,2020-03-18 17:37:27.045166
111,Paraguay,11,+2,,,,11,1.0,2.0,2020-03-18 17:37:27.045166
112,Cameroon,10,,,,,10,,0.4,2020-03-18 17:37:27.045166
113,Monaco,9,,,,,9,,229.0,2020-03-18 17:37:27.045166
114,Honduras,9,+1,,,,9,,0.9,2020-03-18 17:37:27.045166
115,Guatemala,8,,1.0,,,7,,0.4,2020-03-18 17:37:27.045166
116,Nigeria,8,+5,,,1.0,7,,0.04,2020-03-18 17:37:27.045166
117,Gibraltar,8,+5,,,2.0,6,,237.0,2020-03-18 17:37:27.045166
118,Guam,8,+3,,,,8,,47.0,2020-03-18 17:37:27.045166
